Husband_takes_drug,Media_usage,d101e,husband_drinks_alcohol,d121,wife_afraid_hasband,women_age,region,residence,v106,religion,ethnicity,no_of_H_members,age_H_head,wealth_Index,total_children_ever_born,currently_pregnant,No_of_living_children,number_of_other_wives,marital_duration,husband_education,husbands_occupation,,IPV 
1,0,1,0,1,1,4,7,2,0,1,7,1,41,2,7,0,7,0,14,1,1,,1
1,1,0,1,0,1,3,7,2,1,0,7,0,37,2,6,0,3,0,14,1,30,,1
1,1,0,0,1,1,3,7,2,1,0,7,0,30,2,3,0,2,0,14,1,30,,0
1,0,0,0,0,1,6,8,2,0,1,16,1,40,0,7,0,7,0,14,0,22.63274596,,3
1,0,0,0,0,1,5,8,2,1,3,16,1,30,0,7,0,7,1,14,2,5,,1
0,0,1,1,1,1,7,8,2,0,1,16,0,53,0,10,0,8,0,15,1,8,,4
0,0,0,0,0,0,7,8,2,0,1,16,0,55,0,6,0,4,0,15,1,33,,0
0,1,0,1,1,0,3,8,2,1,1,16,0,25,0,4,0,4,5,15,1,4,,0
1,1,0,0,0,0,3,7,1,1,2,6,0,30,2,4,1,4,0,11,3,20,,0
1,1,0,0,0,0,7,7,1,0,2,15,1,60,2,6,0,5,0,17,1,33,,0
1,1,0,0,1,0,3,7,1,3,2,15,0,29,2,1,1,1,0,20,3,28,,1
1,1,0,1,0,0,4,7,1,3,0,15,0,42,2,2,0,2,0,23,2,30,,0
1,1,1,0,0,1,2,7,1,3,2,15,0,27,2,1,0,1,0,20,3,30,,0
1,1,0,0,0,1,7,7,1,0,2,15,0,45,2,7,0,5,0,14,0,22.63274596,,0
1,1,0,0,0,1,3,7,1,1,2,15,0,30,2,2,0,2,0,24,1,30,,0
1,1,0,0,0,1,3,7,1,2,2,15,0,35,2,2,0,2,0,20,2,30,,0
1,1,0,1,0,0,5,10,1,2,0,6,0,48,2,2,0,2,0,28,2,6,,1
1,1,0,0,0,1,6,10,1,0,2,6,1,40,2,5,0,5,0,19,1,33,,0
1,1,0,0,0,1,2,10,1,3,0,2,0,27,2,0,0,0,0,19,3,4,,0
1,1,1,0,0,0,5,10,1,1,0,1,0,50,2,1,0,1,0,31,1,8,,1
1,0,0,0,0,1,7,5,2,0,2,5,0,46,0,6,0,6,0,25,0,10,,0
1,0,0,0,0,0,7,5,2,0,2,5,0,53,0,8,0,7,0,16,0,33,,0
1,0,0,0,0,1,6,5,2,0,2,5,1,40,0,9,0,9,0,18,0,22.63274596,,0
1,0,0,0,0,1,3,5,2,0,2,5,0,45,0,6,0,5,0,15,3,9,,0
1,0,0,0,1,1,5,5,2,0,2,5,1,35,0,5,0,5,0,19,0,4,,0
1,0,0,0,0,0,7,5,2,0,2,5,0,48,0,10,0,8,2,24,0,13,,0
1,0,0,0,0,0,3,5,2,0,2,5,0,26,0,4,1,4,1,11,0,33,,0
1,0,0,0,1,1,4,5,2,0,2,5,2,40,0,7,0,7,0,15,0,10,,1
1,0,0,0,0,0,3,5,2,0,2,5,1,30,0,6,0,6,0,10,0,33,,0
1,1,0,0,0,1,3,6,1,2,2,1,0,33,2,2,0,2,0,17,3,9,,0
1,1,0,1,0,0,4,6,1,2,0,3,0,36,2,2,0,2,0,21,2,25,,0
1,1,0,0,0,1,4,6,1,1,0,2,0,49,2,5,0,4,0,19,3,33,,0
1,1,0,0,0,0,3,6,1,0,0,3,0,44,2,3,0,3,0,15,0,33,,0
1,0,1,0,0,0,2,6,1,1,1,2,0,32,2,0,1,0,0,20,2,35,,0
1,1,0,0,0,0,4,3,1,1,2,1,0,31,2,2,0,2,0,14,2,35,,1
1,1,1,1,0,0,3,3,1,2,0,1,0,32,2,1,0,1,0,19,1,18,,0
1,1,0,0,1,1,3,3,1,3,2,1,0,29,2,1,0,1,0,16,3,15,,0
1,1,0,0,0,0,6,3,1,2,0,1,0,43,2,0,0,0,0,19,3,31,,0
1,1,1,1,0,0,3,3,1,3,0,1,0,32,2,0,1,0,0,22,3,35,,0
1,1,0,0,0,0,3,3,1,1,2,1,0,29,2,2,0,2,0,23,2,18,,0
1,1,0,0,0,1,5,3,1,2,2,1,0,39,2,4,0,4,0,16,2,30,,0
1,0,1,0,0,1,1,3,1,1,0,1,0,18,2,1,0,1,0,11,0,22.63274596,,1
1,1,0,0,1,0,3,10,1,2,0,2,0,27,2,1,0,1,0,22,3,26,,0
1,1,0,1,0,0,2,10,1,1,0,1,0,39,2,1,0,1,0,22,3,25,,0
1,1,0,0,0,0,5,10,1,1,0,1,0,37,2,2,0,2,0,20,3,6,,0
1,1,0,0,0,1,3,10,1,2,0,1,0,35,2,0,0,0,0,25,2,35,,0
1,1,0,1,0,0,5,10,1,2,0,2,0,35,2,2,0,1,0,22,3,33,,0
1,0,0,0,0,1,4,7,2,0,1,9,0,63,2,2,0,2,0,18,0,33,,0
1,1,1,0,1,1,1,7,2,1,1,9,0,35,2,1,1,1,0,15,1,30,,0
